               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.037132,             0.01121,           0.0093737,             0.41129,             0.94213,             0.61946,             0.30956,             0.02551,           0.0063631,            0.033815,            0.007483,            0.007483,            0.011283
                 107,            0.035039,             0.01162,           0.0077539,              0.1953,             0.83333,             0.25391,            0.098661,            0.028274,           0.0077274,            0.036894,           0.0075164,           0.0075164,            0.010416
                 108,            0.039947,            0.013056,           0.0094896,             0.32608,                   1,             0.52011,             0.30899,            0.023023,           0.0059631,            0.033829,           0.0075491,           0.0075491,           0.0095491
                 109,            0.040365,             0.01244,            0.010599,             0.34071,             0.91667,             0.59512,              0.4254,            0.017891,           0.0045868,             0.03335,           0.0075808,           0.0075808,           0.0086808
                 110,             0.03652,            0.011532,            0.013719,             0.32987,             0.91533,             0.53175,             0.35686,            0.016557,           0.0031386,            0.046546,           0.0076117,           0.0076117,           0.0078117
                 111,            0.032845,            0.011995,           0.0077385,             0.30068,             0.91667,             0.53846,             0.38553,            0.014942,           0.0028952,            0.053937,           0.0075886,           0.0075886,           0.0075886
                 112,            0.032877,            0.011307,            0.006686,             0.31415,             0.91667,             0.49927,             0.27557,            0.020713,           0.0029629,            0.052746,           0.0075886,           0.0075886,           0.0075886
                 113,            0.038844,            0.011784,           0.0083029,             0.32641,             0.91667,             0.41812,             0.20588,             0.02006,           0.0031863,            0.049034,           0.0075501,           0.0075501,           0.0075501
                 114,            0.032337,            0.011412,           0.0065169,              0.3716,                   1,             0.47477,             0.23074,            0.018539,            0.002544,              0.0507,           0.0075114,           0.0075114,           0.0075114
                 115,             0.03612,            0.010203,            0.011877,             0.34679,                   1,             0.52886,             0.44721,            0.018636,           0.0026982,             0.04881,           0.0074725,           0.0074725,           0.0074725
                 116,            0.035376,            0.011051,           0.0053125,             0.26915,                   1,             0.57406,             0.34084,            0.022821,           0.0022815,            0.055524,           0.0074335,           0.0074335,           0.0074335
                 117,            0.036888,            0.011708,            0.011692,             0.43563,             0.66667,                0.65,             0.51444,            0.015295,           0.0024911,            0.036004,           0.0073943,           0.0073943,           0.0073943
                 118,            0.040052,            0.011969,           0.0087367,             0.97316,                 0.5,                 0.7,             0.51667,            0.016852,           0.0026566,            0.027847,            0.007355,            0.007355,            0.007355
                 119,            0.034024,            0.010775,           0.0082023,             0.76789,             0.74875,             0.71138,             0.56789,             0.01612,           0.0023967,            0.028054,           0.0073155,           0.0073155,           0.0073155
                 120,            0.035896,           0.0098348,           0.0052567,             0.79892,              0.7198,             0.78614,             0.51954,            0.016963,           0.0023922,            0.032279,           0.0072758,           0.0072758,           0.0072758
                 121,            0.040726,            0.010817,           0.0059978,             0.77556,             0.74837,             0.70937,              0.4562,            0.020397,           0.0022891,            0.029953,           0.0072361,           0.0072361,           0.0072361
                 122,            0.033074,            0.010126,            0.005409,             0.86018,             0.91667,               0.963,             0.71671,            0.016884,           0.0027819,           0.0060313,           0.0071962,           0.0071962,           0.0071962
                 123,            0.033133,            0.011364,           0.0064113,             0.69409,             0.83321,             0.95375,             0.60899,            0.016893,           0.0032454,            0.014902,           0.0071561,           0.0071561,           0.0071561
                 124,            0.031879,            0.011223,           0.0064687,             0.82065,             0.83312,             0.93375,             0.80822,            0.012499,            0.002581,            0.012765,            0.007116,            0.007116,            0.007116
                 125,            0.032167,            0.010932,           0.0064282,             0.94955,                 0.5,             0.68106,             0.52945,            0.017259,           0.0047643,            0.020735,           0.0070757,           0.0070757,           0.0070757
                 126,            0.035349,            0.011527,            0.007592,             0.61873,                 0.5,             0.55108,             0.34123,            0.020188,           0.0058033,             0.02502,           0.0070353,           0.0070353,           0.0070353
                 127,            0.036522,            0.011859,           0.0077326,                   1,             0.33325,             0.65196,             0.51877,            0.015749,           0.0061074,            0.019572,           0.0069948,           0.0069948,           0.0069948
                 128,            0.033921,            0.010443,            0.009307,             0.40533,             0.72488,             0.77531,             0.60139,            0.013452,           0.0043487,            0.013597,           0.0069541,           0.0069541,           0.0069541
                 129,            0.032961,            0.010579,           0.0042363,             0.99999,             0.41667,              0.6455,             0.24623,            0.028619,           0.0050908,            0.018822,           0.0069134,           0.0069134,           0.0069134
                 130,            0.033606,            0.011559,           0.0065319,              0.3927,             0.83333,             0.71089,             0.35933,            0.021337,           0.0040947,            0.021529,           0.0068726,           0.0068726,           0.0068726
                 131,            0.030478,            0.010413,           0.0070866,             0.43301,             0.82958,             0.69929,             0.53596,            0.013746,           0.0028954,            0.023994,           0.0068316,           0.0068316,           0.0068316
                 132,            0.032876,            0.009477,           0.0052135,             0.49738,                   1,             0.69929,              0.6041,            0.013843,            0.002022,            0.026464,           0.0067906,           0.0067906,           0.0067906
                 133,            0.029326,            0.009738,            0.004068,             0.69572,             0.83333,             0.79817,             0.65037,            0.014302,           0.0023651,            0.015919,           0.0067495,           0.0067495,           0.0067495
                 134,            0.037449,            0.010268,           0.0085015,             0.67425,             0.99857,             0.83646,              0.6939,            0.013943,           0.0028494,            0.020085,           0.0067083,           0.0067083,           0.0067083
                 135,            0.031431,           0.0099339,           0.0067881,             0.65938,             0.99953,             0.82979,             0.67282,            0.015925,           0.0031826,            0.020197,           0.0066671,           0.0066671,           0.0066671
                 136,            0.032883,           0.0096431,           0.0066761,             0.58668,                   1,               0.842,             0.66344,            0.015864,           0.0039864,            0.017444,           0.0066257,           0.0066257,           0.0066257
